last_name,first_name,middle_name,full_name,gender,type,state,party,url,address,phone,twitter,facebook,youtube,youtube_id
Collins,Susan,M.,Susan M. Collins,F,sen,ME,Republican,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,SenatorCollins,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w
Cornyn,John,,John Cornyn,M,sen,TX,Republican,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,JohnCornyn,sen.johncornyn,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ
Durbin,Richard,J.,Richard J. Durbin,M,sen,IL,Democrat,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,SenatorDurbin,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw
Enzi,Michael,B.,Michael B. Enzi,M,sen,WY,Republican,https://www.enzi.senate.gov,379A Russell Senate Office Building Washington DC 20510,202-224-3424,SenatorEnzi,mikeenzi,senatorenzi,UCipEXEDAKVPj_B0cQjaikEA
Graham,Lindsey,O.,Lindsey Graham,M,sen,SC,Republican,https://www.lgraham.senate.gov/public,290 Russell Senate Office Building Washington DC 20510,202-224-5972,GrahamBlog,USSenatorLindseyGraham,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ
Inhofe,James,M.,James M. Inhofe,M,sen,OK,Republican,https://www.inhofe.senate.gov,205 Russell Senate Office Building Washington DC 20510,202-224-4721,InhofePress,jiminhofe,jiminhofepressoffice,UCk3W3ilX8vGG-300qzNpG7w
McConnell,Mitch,,Mitch McConnell,M,sen,KY,Republican,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,McConnellPress,mitchmcconnell,,
Merkley,Jeff,,Jeff Merkley,M,sen,OR,Democrat,https://www.merkley.senate.gov,313 Hart Senate Office Building Washington DC 20510,202-224-3753,SenJeffMerkley,jeffmerkley,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ
Reed,John,F.,Jack Reed,M,sen,RI,Democrat,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,SenJackReed,SenJackReed,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw
Risch,James,,James E. Risch,M,sen,ID,Republican,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,SenatorRisch,senatorjimrisch,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA
Roberts,Pat,,Pat Roberts,M,sen,KS,Republican,https://www.roberts.senate.gov,109 Hart Senate Office Building Washington DC 20510,202-224-4774,SenPatRoberts,SenPatRoberts,SenPatRoberts,UCRpswvC8LgxzE9AYSFpqUgw
Shaheen,Jeanne,,Jeanne Shaheen,F,sen,NH,Democrat,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,SenatorShaheen,SenatorShaheen,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA
Udall,Tom,S.,Tom Udall,M,sen,NM,Democrat,https://www.tomudall.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-6621,SenatorTomUdall,senatortomudall,senatortomudall,UCADpIVS6bxOcr-uWnJCC9pQ
Warner,Mark,,Mark R. Warner,M,sen,VA,Democrat,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-2023,MarkWarner,MarkRWarner,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw
Gillibrand,Kirsten,E.,Kirsten E. Gillibrand,F,sen,NY,Democrat,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,GillibrandNY,SenKirstenGillibrand,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg
Coons,Chris,Andrew,Christopher A. Coons,M,sen,DE,Democrat,https://www.coons.senate.gov,218 Russell Senate Office Building Washington DC 20510,202-224-5042,ChrisCoons,senatorchriscoons,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA
Manchin,Joe,,"Joe Manchin, III",M,sen,WV,Democrat,https://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3954,Sen_JoeManchin,JoeManchinIII,SenatorJoeManchin,UCGyPK_ye2ptpzQgOjKIn7ag
Aderholt,Robert,B.,Robert B. Aderholt,M,rep,AL,Republican,https://aderholt.house.gov,1203 Longworth House Office Building Washington DC 20515-0104,202-225-4876,Robert_Aderholt,RobertAderholt,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA
Amash,Justin,,Justin Amash,M,rep,MI,Libertarian,https://amash.house.gov,106 Cannon House Office Building Washington DC 20515-2203,202-225-3831,,repjustinamash,repjustinamash,UCeg6HhoCXrS8xpON9dxtZgA
Baldwin,Tammy,,Tammy Baldwin,F,sen,WI,Democrat,https://www.baldwin.senate.gov,709 Hart Senate Office Building Washington DC 20510,202-224-5653,SenatorBaldwin,senatortammybaldwin,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q
Bass,Karen,,Karen Bass,F,rep,CA,Democrat,https://bass.house.gov,2059 Rayburn House Office Building Washington DC 20515-0537,202-225-7084,RepKarenBass,RepKarenBass,RepKarenBass,UCQZg7oxkV3Yag2emYPLhT2g
Bennet,Michael,F.,Michael F. Bennet,M,sen,CO,Democrat,https://www.bennet.senate.gov/public,261 Russell Senate Office Building Washington DC 20510,202-224-5852,SenatorBennet,senbennetco,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow
Bilirakis,Gus,M.,Gus M. Bilirakis,M,rep,FL,Republican,https://bilirakis.house.gov,2227 Rayburn House Office Building Washington DC 20515-0912,202-225-5755,RepGusBilirakis,GusBilirakis,RepGusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw
Bishop,Rob,,Rob Bishop,M,rep,UT,Republican,https://robbishop.house.gov,123 Cannon House Office Building Washington DC 20515-4401,202-225-0453,RepRobBishop,RepRobBishop,CongressmanBishop,UCJC2BXNGQEUom7Tp7FKfxlQ
Bishop,Sanford,D.,"Sanford D. Bishop, Jr.",M,rep,GA,Democrat,https://bishop.house.gov,2407 Rayburn House Office Building Washington DC 20515-1002,202-225-3631,SanfordBishop,sanfordbishop,RepSanfordBishop,UCxF9veLBrkr_CqVq5eFYVGg
Blackburn,Marsha,W.,Marsha Blackburn,F,sen,TN,Republican,https://www.blackburn.senate.gov,357 Dirksen Senate Office Building Washington DC 20510,202-224-3344,MarshaBlackburn,marshablackburn,RepMarshaBlackburn,UCvNnmu5mUm7xr8QXBlbtQ9w
Blumenauer,Earl,,Earl Blumenauer,M,rep,OR,Democrat,https://blumenauer.house.gov,1111 Longworth House Office Building Washington DC 20515-3703,202-225-4811,BlumenauerMedia,,RepBlumenauer,UCuziVoKuGn7feNA5VrpxsBQ
Blumenthal,Richard,,Richard Blumenthal,M,sen,CT,Democrat,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,SenBlumenthal,SenBlumenthal,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g
Blunt,Roy,,Roy Blunt,M,sen,MO,Republican,https://www.blunt.senate.gov,260 Russell Senate Office Building Washington DC 20510,202-224-5721,RoyBlunt,SenatorBlunt,SenatorBlunt,UCFeLRzjhThTmaWzuh5qjpGA
Boozman,John,,John Boozman,M,sen,AR,Republican,https://www.boozman.senate.gov/public,141 Hart Senate Office Building Washington DC 20510,202-224-4843,JohnBoozman,JohnBoozman,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw
Brady,Kevin,P.,Kevin Brady,M,rep,TX,Republican,https://kevinbrady.house.gov,1011 Longworth House Office Building Washington DC 20515-4308,202-225-4901,RepKevinBrady,kevinbrady,KBrady8,UC6Ng0uMQEBVgXO_HF0NbfXA
Brooks,Mo,,Mo Brooks,M,rep,AL,Republican,https://brooks.house.gov,2246 Rayburn House Office Building Washington DC 20515-0105,202-225-4801,RepMoBrooks,RepMoBrooks,RepMoBrooks,UCgsPSY0MpuQJq8vEqYUSt-g
Buchanan,Vern,,Vern Buchanan,M,rep,FL,Republican,https://buchanan.house.gov,2427 Rayburn House Office Building Washington DC 20515-0916,202-225-5015,VernBuchanan,CongressmanBuchanan,vernbuchanan,UCY4DEy41NxOTdcF8_XAVZvw
Bucshon,Larry,,Larry Bucshon,M,rep,IN,Republican,https://bucshon.house.gov,2313 Rayburn House Office Building Washington DC 20515-1408,202-225-4636,RepLarryBucshon,RepLarryBucshon,RepLarryBucshon,UC0bIliQs0LKZabNwvZ3gnhQ
Burgess,Michael,C.,Michael C. Burgess,M,rep,TX,Republican,https://burgess.house.gov,2161 Rayburn House Office Building Washington DC 20515-4326,202-225-7772,MichaelCBurgess,michaelcburgess,michaelcburgessmd,UCvvO8lo-Nkc31cEEElqQvQw
Burr,Richard,M.,Richard Burr,M,sen,NC,Republican,https://www.burr.senate.gov,217 Russell Senate Office Building Washington DC 20510,202-224-3154,SenatorBurr,SenatorRichardBurr,SenatorRichardBurr,UCOLLZpp-1womBSFDV2uLfag
Butterfield,George,Kenneth,G. K. Butterfield,M,rep,NC,Democrat,https://butterfield.house.gov,2080 Rayburn House Office Building Washington DC 20515-3301,202-225-3101,GKButterfield,congressmangkbutterfield,GKBNC01,UCbodCVgLfcbaep49L1M-mqA
Calvert,Ken,S.,Ken Calvert,M,rep,CA,Republican,https://calvert.house.gov,2205 Rayburn House Office Building Washington DC 20515-0542,202-225-1986,KenCalvert,70063393423,RepKenCalvert,UC5MEj7YOX_QdKoqD_HRxP3A
Capito,Shelley,Moore,Shelley Moore Capito,F,sen,WV,Republican,https://www.capito.senate.gov,172 Russell Senate Office Building Washington DC 20510,202-224-6472,SenCapito,senshelley,,UCbiXdR4XQ3vD9Xp5lfR9QXw
Carson,André,,André Carson,M,rep,IN,Democrat,https://carson.house.gov,2135 Rayburn House Office Building Washington DC 20515-1407,202-225-4011,RepAndreCarson,CongressmanAndreCarson,repandrecarson,UCprUnnEgM2VUGmAKSaZXCSw
Carter,John,R.,John R. Carter,M,rep,TX,Republican,https://carter.house.gov,2110 Rayburn House Office Building Washington DC 20515-4331,202-225-3864,JudgeCarter,judgecarter,repjohncarter,UC9pkaOrhPfouzkJ8oAdI-1w
Cassidy,Bill,,Bill Cassidy,M,sen,LA,Republican,https://www.cassidy.senate.gov,520 Hart Senate Office Building Washington DC 20510,202-224-5824,SenBillCassidy,,SenatorBillCassidy,UCCEyGhUzxgkxFzWCY-rxz8g
Castor,Kathy,,Kathy Castor,F,rep,FL,Democrat,https://castor.house.gov,2052 Rayburn House Office Building Washington DC 20515-0914,202-225-3376,USRepKCastor,USRepKathyCastor,RepKathyCastor,UC_irxhmLqVenTFPxDxznG6g
Chabot,Steve,J.,Steve Chabot,M,rep,OH,Republican,https://chabot.house.gov,2408 Rayburn House Office Building Washington DC 20515-3501,202-225-2216,RepSteveChabot,RepSteveChabot,congressmanchabot,UCJpzm2DZDE1B6ruQLQc7q4g
Chu,Judy,M.,Judy Chu,F,rep,CA,Democrat,https://chu.house.gov,2423 Rayburn House Office Building Washington DC 20515-0527,202-225-5464,RepJudyChu,RepJudyChu,RepJudyChu,UCfcbYOvdEXZNelM8T05nK-w
Cicilline,David,N.,David N. Cicilline,M,rep,RI,Democrat,https://cicilline.house.gov,2233 Rayburn House Office Building Washington DC 20515-3901,202-225-4911,RepCicilline,CongressmanDavidCicilline,RepDavidCicilline,UC3sCl46o8hYP69LnidNltuw
Clarke,Yvette,D.,Yvette D. Clarke,F,rep,NY,Democrat,https://clarke.house.gov,2058 Rayburn House Office Building Washington DC 20515-3209,202-225-6231,RepYvetteClarke,repyvettedclarke,repyvetteclarke,UC8SuQiuL2P9fUHAxuRoTdUQ
Clay,Wm.,Lacy,Wm. Lacy Clay,M,rep,MO,Democrat,https://lacyclay.house.gov,2428 Rayburn House Office Building Washington DC 20515-2501,202-225-2406,,1.09135E+14,WilliamLacyClay,UCB3yVQzlxhx3brOwaWtiXoQ
Cleaver,Emanuel,,Emanuel Cleaver,M,rep,MO,Democrat,https://cleaver.house.gov,2335 Rayburn House Office Building Washington DC 20515-2505,202-225-4535,RepCleaver,emanuelcleaverii,repcleaver,UCVC-7CLFjXczoihr5FxDLsw
Clyburn,James,E.,James E. Clyburn,M,rep,SC,Democrat,https://clyburn.house.gov,200 Cannon House Office Building Washington DC 20515-4006,202-225-3315,WhipClyburn,jameseclyburn,repjamesclyburn,UCIyU_UA_JEa14gvAwhquKqg
Cohen,Steve,,Steve Cohen,M,rep,TN,Democrat,https://cohen.house.gov,2104 Rayburn House Office Building Washington DC 20515-4209,202-225-3265,RepCohen,CongressmanSteveCohen,repcohen,UC_NJlnsOBjOameUwZk0rvsA
Cole,Tom,,Tom Cole,M,rep,OK,Republican,https://cole.house.gov,2207 Rayburn House Office Building Washington DC 20515-3604,202-225-6165,TomColeOK04,TomColeOK04,reptomcole,UCvqzPm_YnNkfEHpm3SEMJMQ
Conaway,K.,Michael,K. Michael Conaway,M,rep,TX,Republican,https://conaway.house.gov,2469 Rayburn House Office Building Washington DC 20515-4311,202-225-3605,ConawayTX11,mike.conaway,mikeconaway11,UCR3dhwhVfxmmqv6ct2Xa1-g
Connolly,Gerald,E.,Gerald E. Connolly,M,rep,VA,Democrat,https://connolly.house.gov,2238 Rayburn House Office Building Washington DC 20515-4611,202-225-1492,GerryConnolly,CongressmanGerryConnolly,repconnolly,UC4WG9PlmoOeSLIuyVjs-RSA
Cooper,Jim,,Jim Cooper,M,rep,TN,Democrat,https://cooper.house.gov,1536 Longworth House Office Building Washington DC 20515-4205,202-225-4311,RepJimCooper,JimCooper,RepJimCooper,UCjplyIIQbNZcl013AyDfPNg
Costa,Jim,,Jim Costa,M,rep,CA,Democrat,https://costa.house.gov,2081 Rayburn House Office Building Washington DC 20515-0516,202-225-3341,RepJimCosta,RepJimCosta,RepJimCostaCA20,UCVgXX23eJEai6GiBOKO6dvA
Courtney,Joe,,Joe Courtney,M,rep,CT,Democrat,https://courtney.house.gov,2332 Rayburn House Office Building Washington DC 20515-0702,202-225-2076,RepJoeCourtney,joecourtney,repcourtney,UCGVIfe1T2hO1Lx7ap5Wkv1w
Crapo,Michael,D.,Mike Crapo,M,sen,ID,Republican,https://www.crapo.senate.gov,239 Dirksen Senate Office Building Washington DC 20510,202-224-6142,MikeCrapo,mikecrapo,senatorcrapo,UCMHzKHg1BE7dEcFjnayw1lA
Crawford,Eric,A.,"Eric A. ""Rick"" Crawford",M,rep,AR,Republican,https://crawford.house.gov,2422 Rayburn House Office Building Washington DC 20515-0401,202-225-4076,RepRickCrawford,RepRickCrawford,RepRickCrawford,UCLKAkVl4BHRK73lmDiIgPYg
Cuellar,Henry,,Henry Cuellar,M,rep,TX,Democrat,https://cuellar.house.gov,2372 Rayburn House Office Building Washington DC 20515-4328,202-225-1640,RepCuellar,1.52569E+11,henrycuellar,UCVgEOdJx3tyILO9EjZ-heEQ
Davis,Danny,K.,Danny K. Davis,M,rep,IL,Democrat,https://davis.house.gov,2159 Rayburn House Office Building Washington DC 20515-1307,202-225-5006,RepDannyDavis,CongressmanDKDavis,dannykdavis07,UCdhrT09_XMr31tuI8OcKsjQ
Davis,Susan,A.,Susan A. Davis,F,rep,CA,Democrat,https://susandavis.house.gov,1214 Longworth House Office Building Washington DC 20515-0553,202-225-2040,RepSusanDavis,RepSusanDavis,RepSusanADavis,UCUni9eg-gXv8pZ2WE_YR0bg
DeFazio,Peter,A.,Peter A. DeFazio,M,rep,OR,Democrat,https://defazio.house.gov,2134 Rayburn House Office Building Washington DC 20515-3704,202-225-6416,RepPeterDeFazio,RepPeterDeFazio,PeterDeFazio,UCIF3HunhsVgTv7L2grnq2Rg
DeGette,Diana,L.,Diana DeGette,F,rep,CO,Democrat,https://degette.house.gov,2111 Rayburn House Office Building Washington DC 20515-0601,202-225-4431,RepDianaDeGette,DianaDeGette,RepDianaDeGette,UCWFQCRTHwsHg9P1Hf-EQtew
DeLauro,Rosa,L.,Rosa L. DeLauro,F,rep,CT,Democrat,https://delauro.house.gov,2413 Rayburn House Office Building Washington DC 20515-0703,202-225-3661,RosaDeLauro,CongresswomanRosaDeLauro,rosadelauro,UC9ROfGBm7kSLCEDYwFF6McQ
DesJarlais,Scott,,Scott DesJarlais,M,rep,TN,Republican,https://desjarlais.house.gov,2301 Rayburn House Office Building Washington DC 20515-4204,202-225-6831,DesJarlaisTN04,ScottDesJarlaisTN04,ScottDesJarlaisTN04,UCvjuSLoi3hS0ECQvJLhwOkA
Deutch,Theodore,E.,Theodore E. Deutch,M,rep,FL,Democrat,https://teddeutch.house.gov,2447 Rayburn House Office Building Washington DC 20515-0922,202-225-3001,RepTedDeutch,CongressmanTedDeutch,congressmanteddeutch,UC1JlTLRUDkzhM2htvI9QJTA
Diaz-Balart,Mario,,Mario Diaz-Balart,M,rep,FL,Republican,https://mariodiazbalart.house.gov,404 Cannon House Office Building Washington DC 20515-0925,202-225-4211,MarioDB,mdiazbalart,MarioDiazBalart,UCpEEd0Plxx5D78pI4a4mFTQ
Doggett,Lloyd,A.,Lloyd Doggett,M,rep,TX,Democrat,https://doggett.house.gov,2307 Rayburn House Office Building Washington DC 20515-4335,202-225-4865,RepLloydDoggett,lloyddoggett,doggett,UCN-kiLKyHPcfRVZ28sAHS_g
Doyle,Michael,F.,Michael F. Doyle,M,rep,PA,Democrat,https://doyle.house.gov,306 Cannon House Office Building Washington DC 20515-3818,202-225-2135,USRepMikeDoyle,usrepmikedoyle,CongressmanDoyle,UCni9vINmgerEeVXhKCC9qbA
Duncan,Jeff,,Jeff Duncan,M,rep,SC,Republican,https://jeffduncan.house.gov,2229 Rayburn House Office Building Washington DC 20515-4003,202-225-5301,RepJeffDuncan,RepJeffDuncan,congjeffduncan,UC1tuXL6ymImdpKYGEAH83QA
Engel,Eliot,L.,Eliot L. Engel,M,rep,NY,Democrat,https://engel.house.gov,2426 Rayburn House Office Building Washington DC 20515-3216,202-225-2464,RepEliotEngel,RepEliotLEngel,engel2161,UCZ-ctBF-a6CYPJWDoBV_JyA
Eshoo,Anna,G.,Anna G. Eshoo,F,rep,CA,Democrat,https://eshoo.house.gov,202 Cannon House Office Building Washington DC 20515-0518,202-225-8104,RepAnnaEshoo,RepAnnaEshoo,RepAnnaEshoo,UCjRvhco2d59GBgA78IIIaYQ
Fleischmann,Charles,J.,"Charles J. ""Chuck"" Fleischmann",M,rep,TN,Republican,https://fleischmann.house.gov,2410 Rayburn House Office Building Washington DC 20515-4203,202-225-3271,RepChuck,repchuck,repchuck,UCTtRrJkM-R-f2K0byCMvHgw
Flores,Bill,,Bill Flores,M,rep,TX,Republican,https://flores.house.gov,2228 Rayburn House Office Building Washington DC 20515-4317,202-225-6105,RepBillFlores,RepBillFlores,RepBillFlores,UCA7MgQ_ccBlCqoxV56B6nmA
Fortenberry,Jeff,Lane,Jeff Fortenberry,M,rep,NE,Republican,https://fortenberry.house.gov,1514 Longworth House Office Building Washington DC 20515-2701,202-225-4806,JeffFortenberry,jefffortenberry,JeffFortenberry,UCbWUvw3gQhbFyJzt1Nh6cAA
Foxx,Virginia,,Virginia Foxx,F,rep,NC,Republican,https://foxx.house.gov,2462 Rayburn House Office Building Washington DC 20515-3305,202-225-2071,VirginiaFoxx,RepVirginiaFoxx,repvirginiafoxx,UCggineJcxJn80TRXxdQbx6w
Fudge,Marcia,L.,Marcia L. Fudge,F,rep,OH,Democrat,https://fudge.house.gov,2344 Rayburn House Office Building Washington DC 20515-3511,202-225-7032,RepMarciaFudge,RepMarciaLFudge,marcialfudge,UClmYIIhIcL-WwtBAy1Dhokg
Garamendi,John,,John Garamendi,M,rep,CA,Democrat,https://garamendi.house.gov,2368 Rayburn House Office Building Washington DC 20515-0503,202-225-1880,RepGaramendi,repgaramendi,garamendiCA10,UCRym1qsO72C39gX6pBu4icg
Gardner,Cory,,Cory Gardner,M,sen,CO,Republican,https://www.gardner.senate.gov,354 Russell Senate Office Building Washington DC 20510,202-224-5941,SenCoryGardner,SenCoryGardner,,UC7Vi5vAFb7piu_BNwrYDBxQ
Gibbs,Bob,,Bob Gibbs,M,rep,OH,Republican,https://gibbs.house.gov,2446 Rayburn House Office Building Washington DC 20515-3507,202-225-6265,RepBobGibbs,RepBobGibbs,RepBobGibbs,UC4J-kVbeE32Up-b_wTLEUmA
Gohmert,Louie,B.,Louie Gohmert,M,rep,TX,Republican,https://gohmert.house.gov,2267 Rayburn House Office Building Washington DC 20515-4301,202-225-3035,RepLouieGohmert,50375006903,GohmertTX01,UC0HMa6X3iMhMq96kkRLLTog
Gosar,Paul,A.,Paul A. Gosar,M,rep,AZ,Republican,https://gosar.house.gov,2057 Rayburn House Office Building Washington DC 20515-0304,202-225-2315,RepGosar,repgosar,repgosar,UC5orqw_9acsKWSRbrqTDXBw
Granger,Kay,,Kay Granger,F,rep,TX,Republican,https://kaygranger.house.gov,1026 Longworth House Office Building Washington DC 20515-4312,202-225-5071,RepKayGranger,RepKayGranger,RepKayGranger,UCsRMtemAkyLh78MPES6gMVQ
Grassley,Charles,E.,Chuck Grassley,M,sen,IA,Republican,https://www.grassley.senate.gov,135 Hart Senate Office Building Washington DC 20510,202-224-3744,ChuckGrassley,grassley,senchuckgrassley,UCiCPRkcLMInpDeOqGkMTt4w
Graves,Sam,B.,Sam Graves,M,rep,MO,Republican,https://graves.house.gov,1135 Longworth House Office Building Washington DC 20515-2506,202-225-7041,RepSamGraves,1.18515E+11,,UCdg2ybvoHsSW6t7iJnKHlNg
Green,Al,,Al Green,M,rep,TX,Democrat,https://algreen.house.gov,2347 Rayburn House Office Building Washington DC 20515-4309,202-225-7508,RepAlGreen,repalgreen,RepAlGreen,UCFtgMZm1YUXaZ8OtOj-GDjA
Griffith,H.,Morgan,H. Morgan Griffith,M,rep,VA,Republican,https://morgangriffith.house.gov,2202 Rayburn House Office Building Washington DC 20515-4609,202-225-3861,RepMGriffith,RepMorganGriffith,RepMorganGriffith,UCzxqD7EY_Rdvbc0spbaYkJA
Grijalva,Raúl,M.,Raúl M. Grijalva,M,rep,AZ,Democrat,https://grijalva.house.gov,1511 Longworth House Office Building Washington DC 20515-0303,202-225-2435,RepraulGrijalva,Rep.Grijalva,raulgrijalvaaz07,UC8JZLnXS21bhNbcvpoM8O7g
Guthrie,Brett,,Brett Guthrie,M,rep,KY,Republican,https://guthrie.house.gov,2434 Rayburn House Office Building Washington DC 20515-1702,202-225-3501,RepGuthrie,CongressmanGuthrie,BrettGuthrie,UCdJhDw-YbdH0RHfWK0sIfiw
Harris,Andy,,Andy Harris,M,rep,MD,Republican,https://harris.house.gov,2334 Rayburn House Office Building Washington DC 20515-2001,202-225-5311,RepAndyHarrisMD,AndyHarrisMD,RepAndyHarris,UCvUuV7FiJfJi1yux4qozgMg
Hartzler,Vicky,,Vicky Hartzler,F,rep,MO,Republican,https://hartzler.house.gov,2235 Rayburn House Office Building Washington DC 20515-2504,202-225-2876,RepHartzler,Congresswoman.Hartzler,repvickyhartzler,UCAvttUz6qBVEJiFt7p_MZxw
Hastings,Alcee,L.,Alcee L. Hastings,M,rep,FL,Democrat,https://alceehastings.house.gov,2353 Rayburn House Office Building Washington DC 20515-0920,202-225-1313,RepHastingsFL,95696782238,RepAlceeHastings,UCaXXiR3YjMuPIlIGRGNnm8A
Heinrich,Martin,,Martin Heinrich,M,sen,NM,Democrat,https://www.heinrich.senate.gov,303 Hart Senate Office Building Washington DC 20510,202-224-5521,MartinHeinrich,MartinHeinrich,SenMartinHeinrich,UCBxh8IK5sMxY0Ln_0G2NYcg
Herrera Beutler,Jaime,,Jaime Herrera Beutler,F,rep,WA,Republican,https://herrerabeutler.house.gov,2352 Rayburn House Office Building Washington DC 20515-4703,202-225-3536,HerreraBeutler,herrerabeutler,RepHerreraBeutler,UCJEgiA9clfx0amrQUj0aBTQ
