last_name,first_name,birthday,gender,typeRep,state,party,url,wikipedia_id
Bucshon,Larry,5/31/1962,M,rep,IN,Republican,https://bucshon.house.gov,Larry Bucshon
Burgess,Michael,12/23/1950,M,rep,TX,Republican,https://burgess.house.gov,Michael C. Burgess
Burr,Richard,11/30/1955,M,sen,NC,Republican,https://www.burr.senate.gov,Richard Burr
Butterfield,George,4/27/1947,M,rep,NC,Democrat,https://butterfield.house.gov,G. K. Butterfield
Calvert,Ken,6/8/1953,M,rep,CA,Republican,https://calvert.house.gov,Ken Calvert
Capito,Shelley,11/26/1953,F,sen,WV,Republican,https://www.capito.senate.gov,Shelley Moore Capito
Carson,André,10/16/1974,M,rep,IN,Democrat,https://carson.house.gov,André Carson
Carter,John,11/6/1941,M,rep,TX,Republican,https://carter.house.gov,John Carter (Texas politician)
Cassidy,Bill,9/28/1957,M,sen,LA,Republican,https://www.cassidy.senate.gov,Bill Cassidy
Castor,Kathy,8/20/1966,F,rep,FL,Democrat,https://castor.house.gov,Kathy Castor
Chabot,Steve,1/22/1953,M,rep,OH,Republican,https://chabot.house.gov,Steve Chabot
Chu,Judy,7/7/1953,F,rep,CA,Democrat,https://chu.house.gov,Judy Chu
Cicilline,David,7/15/1961,M,rep,RI,Democrat,https://cicilline.house.gov,David Cicilline
Clarke,Yvette,11/21/1964,F,rep,NY,Democrat,https://clarke.house.gov,Yvette Clarke
Clay,Wm.,7/27/1956,M,rep,MO,Democrat,https://lacyclay.house.gov,Lacy Clay
Cleaver,Emanuel,10/26/1944,M,rep,MO,Democrat,https://cleaver.house.gov,Emanuel Cleaver
Clyburn,James,7/21/1940,M,rep,SC,Democrat,https://clyburn.house.gov,Jim Clyburn
Cohen,Steve,5/24/1949,M,rep,TN,Democrat,https://cohen.house.gov,Steve Cohen
Cole,Tom,4/28/1949,M,rep,OK,Republican,https://cole.house.gov,Tom Cole
Conaway,K.,6/11/1948,M,rep,TX,Republican,https://conaway.house.gov,Mike Conaway
Connolly,Gerald,3/30/1950,M,rep,VA,Democrat,https://connolly.house.gov,Gerry Connolly
Cooper,Jim,6/19/1954,M,rep,TN,Democrat,https://cooper.house.gov,Jim Cooper
Costa,Jim,4/13/1952,M,rep,CA,Democrat,https://costa.house.gov,Jim Costa
Courtney,Joe,4/6/1953,M,rep,CT,Democrat,https://courtney.house.gov,Joe Courtney (politician)
Crapo,Michael,5/20/1951,M,sen,ID,Republican,https://www.crapo.senate.gov,Mike Crapo
Crawford,Eric,1/22/1966,M,rep,AR,Republican,https://crawford.house.gov,Rick Crawford (politician)
Cuellar,Henry,9/19/1955,M,rep,TX,Democrat,https://cuellar.house.gov,Henry Cuellar
Davis,Danny,9/6/1941,M,rep,IL,Democrat,https://davis.house.gov,Danny K. Davis
Davis,Susan,4/13/1944,F,rep,CA,Democrat,https://susandavis.house.gov,Susan Davis (politician)
DeFazio,Peter,5/27/1947,M,rep,OR,Democrat,https://defazio.house.gov,Peter DeFazio
DeGette,Diana,7/29/1957,F,rep,CO,Democrat,https://degette.house.gov,Diana DeGette
DeLauro,Rosa,3/2/1943,F,rep,CT,Democrat,https://delauro.house.gov,Rosa DeLauro
DesJarlais,Scott,2/21/1964,M,rep,TN,Republican,https://desjarlais.house.gov,Scott DesJarlais
Deutch,Theodore,5/7/1966,M,rep,FL,Democrat,https://teddeutch.house.gov,Ted Deutch
Diaz-Balart,Mario,9/25/1961,M,rep,FL,Republican,https://mariodiazbalart.house.gov,Mario Díaz-Balart
Doggett,Lloyd,10/6/1946,M,rep,TX,Democrat,https://doggett.house.gov,Lloyd Doggett
Doyle,Michael,8/5/1953,M,rep,PA,Democrat,https://doyle.house.gov,Mike Doyle (American politician)
Duncan,Jeff,1/7/1966,M,rep,SC,Republican,https://jeffduncan.house.gov,Jeff Duncan (politician)
Engel,Eliot,2/18/1947,M,rep,NY,Democrat,https://engel.house.gov,Eliot Engel
Eshoo,Anna,12/13/1942,F,rep,CA,Democrat,https://eshoo.house.gov,Anna Eshoo
Fleischmann,Charles,10/11/1962,M,rep,TN,Republican,https://fleischmann.house.gov,Chuck Fleischmann
Flores,Bill,2/25/1954,M,rep,TX,Republican,https://flores.house.gov,Bill Flores
Fortenberry,Jeff,12/27/1960,M,rep,NE,Republican,https://fortenberry.house.gov,Jeff Fortenberry
Foxx,Virginia,6/29/1943,F,rep,NC,Republican,https://foxx.house.gov,Virginia Foxx
Fudge,Marcia,10/29/1952,F,rep,OH,Democrat,https://fudge.house.gov,Marcia Fudge
Garamendi,John,1/24/1945,M,rep,CA,Democrat,https://garamendi.house.gov,John Garamendi
Gardner,Cory,8/22/1974,M,sen,CO,Republican,https://www.gardner.senate.gov,Cory Gardner
Gibbs,Bob,6/14/1954,M,rep,OH,Republican,https://gibbs.house.gov,Bob Gibbs
Gohmert,Louie,8/18/1953,M,rep,TX,Republican,https://gohmert.house.gov,Louie Gohmert
Gosar,Paul,11/22/1958,M,rep,AZ,Republican,https://gosar.house.gov,Paul Gosar
Granger,Kay,1/18/1943,F,rep,TX,Republican,https://kaygranger.house.gov,Kay Granger
Grassley,Charles,9/17/1933,M,sen,IA,Republican,https://www.grassley.senate.gov,Chuck Grassley
Graves,Sam,11/7/1963,M,rep,MO,Republican,https://graves.house.gov,Sam Graves
Green,Al,9/1/1947,M,rep,TX,Democrat,https://algreen.house.gov,Al Green (politician)
Griffith,H.,3/15/1958,M,rep,VA,Republican,https://morgangriffith.house.gov,Morgan Griffith
Grijalva,Raúl,2/19/1948,M,rep,AZ,Democrat,https://grijalva.house.gov,Raúl Grijalva
Guthrie,Brett,2/18/1964,M,rep,KY,Republican,https://guthrie.house.gov,Brett Guthrie
Harris,Andy,1/25/1957,M,rep,MD,Republican,https://harris.house.gov,Andy Harris (politician)
Hartzler,Vicky,10/13/1960,F,rep,MO,Republican,https://hartzler.house.gov,Vicky Hartzler
Hastings,Alcee,9/5/1936,M,rep,FL,Democrat,https://alceehastings.house.gov,Alcee Hastings
Heinrich,Martin,10/17/1971,M,sen,NM,Democrat,https://www.heinrich.senate.gov,Martin Heinrich
Herrera Beutler,Jaime,11/3/1978,F,rep,WA,Republican,https://herrerabeutler.house.gov,Jaime Herrera Beutler
Higgins,Brian,10/6/1959,M,rep,NY,Democrat,https://higgins.house.gov,Brian Higgins
Himes,James,7/5/1966,M,rep,CT,Democrat,https://himes.house.gov,Jim Himes
Hirono,Mazie,11/3/1947,F,sen,HI,Democrat,https://www.hirono.senate.gov,Mazie Hirono
Hoeven,John,3/13/1957,M,sen,ND,Republican,https://www.hoeven.senate.gov,John Hoeven
Hoyer,Steny,6/14/1939,M,rep,MD,Democrat,https://hoyer.house.gov,Steny Hoyer
Huizenga,Bill,1/31/1969,M,rep,MI,Republican,https://huizenga.house.gov,Bill Huizenga
Jackson Lee,Sheila,1/12/1950,F,rep,TX,Democrat,https://jacksonlee.house.gov,Sheila Jackson Lee
Johnson,Bill,11/10/1954,M,rep,OH,Republican,https://billjohnson.house.gov,Bill Johnson (Ohio politician)
Johnson,Eddie,12/3/1935,F,rep,TX,Democrat,https://ebjohnson.house.gov,Eddie Bernice Johnson
Johnson,Henry,10/2/1954,M,rep,GA,Democrat,https://hankjohnson.house.gov,Hank Johnson
Johnson,Ron,4/8/1955,M,sen,WI,Republican,https://www.ronjohnson.senate.gov,Ron Johnson (Wisconsin politician)
Jordan,Jim,2/17/1964,M,rep,OH,Republican,https://jordan.house.gov,Jim Jordan (American politician)
Kaptur,Marcy,6/17/1946,F,rep,OH,Democrat,https://kaptur.house.gov,Marcy Kaptur
Keating,William,9/6/1952,M,rep,MA,Democrat,https://keating.house.gov,Bill Keating (politician)
Kelly,Mike,5/10/1948,M,rep,PA,Republican,https://kelly.house.gov,Mike Kelly (Pennsylvania politician)
Kind,Ron,3/16/1963,M,rep,WI,Democrat,https://kind.house.gov,Ron Kind
King,Peter,4/5/1944,M,rep,NY,Republican,https://peteking.house.gov,Peter T. King
King,Steve,5/28/1949,M,rep,IA,Republican,https://steveking.house.gov,Steve King
Kinzinger,Adam,2/27/1978,M,rep,IL,Republican,https://kinzinger.house.gov,Adam Kinzinger
Lamborn,Doug,5/24/1954,M,rep,CO,Republican,https://lamborn.house.gov,Doug Lamborn
Langevin,James,4/22/1964,M,rep,RI,Democrat,https://langevin.house.gov,James Langevin
Lankford,James,3/4/1968,M,sen,OK,Republican,https://www.lankford.senate.gov,James Lankford
Larsen,Rick,6/15/1965,M,rep,WA,Democrat,https://larsen.house.gov,Rick Larsen
Larson,John,7/22/1948,M,rep,CT,Democrat,https://larson.house.gov,John B. Larson
Latta,Robert,4/18/1956,M,rep,OH,Republican,https://latta.house.gov,Bob Latta
Leahy,Patrick,3/31/1940,M,sen,VT,Democrat,https://www.leahy.senate.gov,Patrick Leahy
Lee,Barbara,7/16/1946,F,rep,CA,Democrat,https://lee.house.gov,Barbara Lee
Lee,Mike,6/4/1971,M,sen,UT,Republican,https://www.lee.senate.gov/public,Mike Lee (American politician)
Lipinski,Daniel,7/15/1966,M,rep,IL,Democrat,https://lipinski.house.gov,Dan Lipinski
Loebsack,David,12/23/1952,M,rep,IA,Democrat,https://loebsack.house.gov,Dave Loebsack
Lofgren,Zoe,12/21/1947,F,rep,CA,Democrat,https://lofgren.house.gov,Zoe Lofgren
Long,Billy,8/11/1955,M,rep,MO,Republican,https://long.house.gov,Billy Long
Lowey,Nita,7/5/1937,F,rep,NY,Democrat,https://lowey.house.gov,Nita Lowey
Lucas,Frank,1/6/1960,M,rep,OK,Republican,https://lucas.house.gov,Frank Lucas (Oklahoma politician)
Luetkemeyer,Blaine,5/7/1952,M,rep,MO,Republican,https://luetkemeyer.house.gov,Blaine Luetkemeyer
Luján,Ben,6/7/1972,M,rep,NM,Democrat,https://lujan.house.gov,Ben Ray Luján
Lynch,Stephen,3/31/1955,M,rep,MA,Democrat,https://lynch.house.gov,Stephen F. Lynch
Maloney,Carolyn,2/19/1946,F,rep,NY,Democrat,https://maloney.house.gov,Carolyn Maloney
Marchant,Kenny,2/23/1951,M,rep,TX,Republican,https://marchant.house.gov,Kenny Marchant
Markey,Edward,7/11/1946,M,sen,MA,Democrat,https://www.markey.senate.gov,Ed Markey
Matsui,Doris,9/25/1944,F,rep,CA,Democrat,https://matsui.house.gov,Doris Matsui
McCarthy,Kevin,1/26/1965,M,rep,CA,Republican,https://kevinmccarthy.house.gov,Kevin McCarthy (California politician)
McCaul,Michael,1/14/1962,M,rep,TX,Republican,https://mccaul.house.gov,Michael McCaul
McClintock,Tom,7/10/1956,M,rep,CA,Republican,https://mcclintock.house.gov,Tom McClintock
McCollum,Betty,7/12/1954,F,rep,MN,Democrat,https://mccollum.house.gov,Betty McCollum
McGovern,James,11/20/1959,M,rep,MA,Democrat,https://mcgovern.house.gov,Jim McGovern (American politician)
McHenry,Patrick,10/22/1975,M,rep,NC,Republican,https://mchenry.house.gov,Patrick McHenry
McKinley,David,3/28/1947,M,rep,WV,Republican,https://mckinley.house.gov,David McKinley
McMorris Rodgers,Cathy,5/22/1969,F,rep,WA,Republican,https://mcmorris.house.gov,Cathy McMorris Rodgers
McNerney,Jerry,6/18/1951,M,rep,CA,Democrat,https://mcnerney.house.gov,Jerry McNerney
Meeks,Gregory,9/25/1953,M,rep,NY,Democrat,https://meeks.house.gov,Gregory Meeks
Moore,Gwen,4/18/1951,F,rep,WI,Democrat,https://gwenmoore.house.gov,Gwen Moore
Moran,Jerry,5/29/1954,M,sen,KS,Republican,https://www.moran.senate.gov,Jerry Moran
Murkowski,Lisa,5/22/1957,F,sen,AK,Republican,https://www.murkowski.senate.gov,Lisa Murkowski
Murphy,Christopher,8/3/1973,M,sen,CT,Democrat,https://www.murphy.senate.gov,Chris Murphy
Murray,Patty,10/11/1950,F,sen,WA,Democrat,https://www.murray.senate.gov/public,Patty Murray
Nadler,Jerrold,6/13/1947,M,rep,NY,Democrat,https://nadler.house.gov,Jerry Nadler
Napolitano,Grace,12/4/1936,F,rep,CA,Democrat,https://napolitano.house.gov,Grace Napolitano
Neal,Richard,2/14/1949,M,rep,MA,Democrat,https://neal.house.gov,Richard Neal
Norton,Eleanor,6/13/1937,F,rep,DC,Democrat,https://norton.house.gov,Eleanor Holmes Norton
Nunes,Devin,10/1/1973,M,rep,CA,Republican,https://nunes.house.gov,Devin Nunes
Olson,Pete,12/9/1962,M,rep,TX,Republican,https://olson.house.gov,Pete Olson
Palazzo,Steven,2/21/1970,M,rep,MS,Republican,https://palazzo.house.gov,Steven Palazzo
Pallone,Frank,10/30/1951,M,rep,NJ,Democrat,https://pallone.house.gov,Frank Pallone
Pascrell,Bill,1/25/1937,M,rep,NJ,Democrat,https://pascrell.house.gov,Bill Pascrell
Paul,Rand,1/7/1963,M,sen,KY,Republican,https://www.paul.senate.gov,Rand Paul
Pelosi,Nancy,3/26/1940,F,rep,CA,Democrat,https://pelosi.house.gov,Nancy Pelosi
Perlmutter,Ed,5/1/1953,M,rep,CO,Democrat,https://perlmutter.house.gov,Ed Perlmutter
Peters,Gary,12/1/1958,M,sen,MI,Democrat,https://www.peters.senate.gov,Gary Peters
Peterson,Collin,6/29/1944,M,rep,MN,Democrat,https://collinpeterson.house.gov,Collin Peterson
Pingree,Chellie,4/2/1955,F,rep,ME,Democrat,https://pingree.house.gov,Chellie Pingree
Portman,Robert,12/19/1955,M,sen,OH,Republican,https://www.portman.senate.gov,Rob Portman
Posey,Bill,12/18/1947,M,rep,FL,Republican,https://posey.house.gov,Bill Posey
Price,David,8/17/1940,M,rep,NC,Democrat,https://price.house.gov,David Price (American politician)
Quigley,Mike,10/17/1958,M,rep,IL,Democrat,https://quigley.house.gov,Mike Quigley (politician)
Reed,Tom,11/18/1971,M,rep,NY,Republican,https://reed.house.gov,Tom Reed (politician)
Richmond,Cedric,9/13/1973,M,rep,LA,Democrat,https://richmond.house.gov,Cedric Richmond
Roby,Martha,7/27/1976,F,rep,AL,Republican,https://roby.house.gov,Martha Roby
Roe,David,7/21/1945,M,rep,TN,Republican,https://roe.house.gov,Phil Roe (politician)
Rogers,Harold,12/31/1937,M,rep,KY,Republican,https://halrogers.house.gov,Hal Rogers
Rogers,Mike,7/16/1958,M,rep,AL,Republican,https://mikerogers.house.gov,Mike Rogers (Alabama politician)
Roybal-Allard,Lucille,6/12/1941,F,rep,CA,Democrat,https://roybal-allard.house.gov,Lucille Roybal-Allard
Rubio,Marco,5/28/1971,M,sen,FL,Republican,https://www.rubio.senate.gov,Marco Rubio
Ruppersberger,C.,1/31/1946,M,rep,MD,Democrat,https://ruppersberger.house.gov,Dutch Ruppersberger
Rush,Bobby,11/23/1946,M,rep,IL,Democrat,https://rush.house.gov,Bobby Rush
Ryan,Tim,7/16/1973,M,rep,OH,Democrat,https://timryan.house.gov,Tim Ryan (Ohio politician)
Sablan,Gregorio,1/19/1955,M,rep,MP,Democrat,https://sablan.house.gov,Gregorio Sablan
Sarbanes,John,5/22/1962,M,rep,MD,Democrat,https://sarbanes.house.gov,John Sarbanes
Scalise,Steve,10/6/1965,M,rep,LA,Republican,https://scalise.house.gov,Steve Scalise
Schakowsky,Janice,5/26/1944,F,rep,IL,Democrat,https://schakowsky.house.gov,Jan Schakowsky
Schiff,Adam,6/22/1960,M,rep,CA,Democrat,https://schiff.house.gov,Adam Schiff
Schrader,Kurt,10/19/1951,M,rep,OR,Democrat,https://schrader.house.gov,Kurt Schrader
Schumer,Charles,11/23/1950,M,sen,NY,Democrat,https://www.schumer.senate.gov,Chuck Schumer
Schweikert,David,3/3/1962,M,rep,AZ,Republican,https://schweikert.house.gov,David Schweikert
Scott,Austin,12/10/1969,M,rep,GA,Republican,https://austinscott.house.gov,Austin Scott (politician)
Scott,David,6/27/1945,M,rep,GA,Democrat,https://davidscott.house.gov,David Scott (Georgia politician)
Scott,Robert,4/30/1947,M,rep,VA,Democrat,https://bobbyscott.house.gov,Bobby Scott (politician)
Scott,Tim,9/19/1965,M,sen,SC,Republican,https://www.scott.senate.gov,Tim Scott
Sensenbrenner,F.,6/14/1943,M,rep,WI,Republican,https://sensenbrenner.house.gov,Jim Sensenbrenner
Serrano,José,10/24/1943,M,rep,NY,Democrat,https://serrano.house.gov,José E. Serrano
Sewell,Terri,1/1/1965,F,rep,AL,Democrat,https://sewell.house.gov,Terri Sewell
Shelby,Richard,5/6/1934,M,sen,AL,Republican,https://www.shelby.senate.gov,Richard Shelby
Sherman,Brad,10/24/1954,M,rep,CA,Democrat,https://sherman.house.gov,Brad Sherman
Shimkus,John,2/21/1958,M,rep,IL,Republican,https://shimkus.house.gov,John Shimkus
Simpson,Michael,9/8/1950,M,rep,ID,Republican,https://simpson.house.gov,Mike Simpson
Sires,Albio,1/26/1951,M,rep,NJ,Democrat,https://sires.house.gov,Albio Sires
Smith,Adam,6/15/1965,M,rep,WA,Democrat,https://adamsmith.house.gov,Adam Smith (politician)
Smith,Adrian,12/19/1970,M,rep,NE,Republican,https://adriansmith.house.gov,Adrian Smith (politician)
Smith,Christopher,3/4/1953,M,rep,NJ,Republican,https://chrissmith.house.gov,Chris Smith (New Jersey politician)
Speier,Jackie,5/14/1950,F,rep,CA,Democrat,https://speier.house.gov,Jackie Speier
Stivers,Steve,3/24/1965,M,rep,OH,Republican,https://stivers.house.gov,Steve Stivers
Sánchez,Linda,1/28/1969,F,rep,CA,Democrat,https://lindasanchez.house.gov,Linda Sánchez
Thompson,Bennie,1/28/1948,M,rep,MS,Democrat,https://benniethompson.house.gov,Bennie Thompson
Thompson,Mike,1/24/1951,M,rep,CA,Democrat,https://mikethompson.house.gov,Mike Thompson (California politician)
Thompson,Glenn,7/27/1959,M,rep,PA,Republican,https://thompson.house.gov,Glenn Thompson (politician)
Thornberry,Mac,7/15/1958,M,rep,TX,Republican,https://thornberry.house.gov,Mac Thornberry
Thune,John,1/7/1961,M,sen,SD,Republican,https://www.thune.senate.gov,John Thune
Tipton,Scott,11/9/1956,M,rep,CO,Republican,https://tipton.house.gov,Scott Tipton
Tonko,Paul,6/18/1949,M,rep,NY,Democrat,https://tonko.house.gov,Paul Tonko
Toomey,Patrick,11/17/1961,M,sen,PA,Republican,https://www.toomey.senate.gov,Pat Toomey
Turner,Michael,1/11/1960,M,rep,OH,Republican,https://turner.house.gov,Mike Turner
Upton,Fred,4/23/1953,M,rep,MI,Republican,https://upton.house.gov,Fred Upton
Van Hollen,Chris,1/10/1959,M,sen,MD,Democrat,https://www.vanhollen.senate.gov,Chris Van Hollen
Velázquez,Nydia,3/28/1953,F,rep,NY,Democrat,https://velazquez.house.gov,Nydia Velázquez
Visclosky,Peter,8/13/1949,M,rep,IN,Democrat,https://visclosky.house.gov,Pete Visclosky
Walberg,Tim,4/12/1951,M,rep,MI,Republican,https://walberg.house.gov,Tim Walberg
Walden,Greg,1/10/1957,M,rep,OR,Republican,https://walden.house.gov,Greg Walden
Wasserman Schultz,Debbie,9/27/1966,F,rep,FL,Democrat,https://wassermanschultz.house.gov,Debbie Wasserman Schultz
Waters,Maxine,8/15/1938,F,rep,CA,Democrat,https://waters.house.gov,Maxine Waters
Webster,Daniel,4/27/1949,M,rep,FL,Republican,https://webster.house.gov,Daniel Webster (Florida politician)
Welch,Peter,5/2/1947,M,rep,VT,Democrat,https://welch.house.gov,Peter Welch
Wilson,Joe,7/31/1947,M,rep,SC,Republican,https://joewilson.house.gov,Joe Wilson (American politician)
Wilson,Frederica,11/5/1942,F,rep,FL,Democrat,https://wilson.house.gov,Frederica Wilson
Wittman,Robert,2/3/1959,M,rep,VA,Republican,https://wittman.house.gov,Rob Wittman
Womack,Steve,2/18/1957,M,rep,AR,Republican,https://womack.house.gov,Steve Womack
Woodall,Rob,2/11/1970,M,rep,GA,Republican,https://woodall.house.gov,Rob Woodall
Wyden,Ron,5/3/1949,M,sen,OR,Democrat,https://www.wyden.senate.gov,Ron Wyden
Yarmuth,John,11/4/1947,M,rep,KY,Democrat,https://yarmuth.house.gov,John Yarmuth
Young,Don,6/9/1933,M,rep,AK,Republican,https://donyoung.house.gov,Don Young
Young,Todd,8/24/1972,M,sen,IN,Republican,https://www.young.senate.gov,Todd Young
Amodei,Mark,6/12/1958,M,rep,NV,Republican,https://amodei.house.gov,Mark Amodei
Bonamici,Suzanne,10/14/1954,F,rep,OR,Democrat,https://bonamici.house.gov,Suzanne Bonamici
DelBene,Suzan,2/17/1962,F,rep,WA,Democrat,https://delbene.house.gov,Suzan DelBene
Massie,Thomas,1/13/1971,M,rep,KY,Republican,https://massie.house.gov,Thomas Massie
Payne,Donald,12/17/1958,M,rep,NJ,Democrat,https://payne.house.gov,Donald Payne Jr.
Schatz,Brian,10/20/1972,M,sen,HI,Democrat,https://www.schatz.senate.gov,Brian Schatz
Foster,Bill,10/7/1955,M,rep,IL,Democrat,https://foster.house.gov,Bill Foster (politician)
Titus,Dina,5/23/1950,F,rep,NV,Democrat,https://titus.house.gov,Dina Titus
Cotton,Tom,5/13/1977,M,sen,AR,Republican,https://www.cotton.senate.gov,Tom Cotton
Sinema,Kyrsten,7/12/1976,F,sen,AZ,Democrat,https://www.sinema.senate.gov,Kyrsten Sinema
LaMalfa,Doug,7/2/1960,M,rep,CA,Republican,https://lamalfa.house.gov,Doug LaMalfa
Huffman,Jared,2/18/1964,M,rep,CA,Democrat,https://huffman.house.gov,Jared Huffman
Bera,Ami,3/2/1965,M,rep,CA,Democrat,https://bera.house.gov,Ami Bera
Swalwell,Eric,11/16/1980,M,rep,CA,Democrat,https://swalwell.house.gov,Eric Swalwell
Brownley,Julia,8/28/1952,F,rep,CA,Democrat,https://juliabrownley.house.gov,Julia Brownley
Cárdenas,Tony,3/31/1963,M,rep,CA,Democrat,https://cardenas.house.gov,Tony Cárdenas
Ruiz,Raul,8/25/1972,M,rep,CA,Democrat,https://ruiz.house.gov,Raul Ruiz (politician)
Takano,Mark,12/10/1960,M,rep,CA,Democrat,https://takano.house.gov,Mark Takano
Lowenthal,Alan,3/8/1941,M,rep,CA,Democrat,https://lowenthal.house.gov,Alan Lowenthal
Vargas,Juan,3/7/1961,M,rep,CA,Democrat,https://vargas.house.gov,Juan Vargas
Peters,Scott,6/17/1958,M,rep,CA,Democrat,https://scottpeters.house.gov,Scott Peters (politician)
Yoho,Ted,4/13/1955,M,rep,FL,Republican,https://yoho.house.gov,Ted Yoho
Frankel,Lois,5/16/1948,F,rep,FL,Democrat,https://frankel.house.gov,Lois Frankel
Collins,Doug,8/16/1966,M,rep,GA,Republican,https://dougcollins.house.gov,Doug Collins (politician)
Gabbard,Tulsi,4/12/1981,F,rep,HI,Democrat,https://gabbard.house.gov,Tulsi Gabbard
Duckworth,Tammy,3/12/1968,F,sen,IL,Democrat,https://www.duckworth.senate.gov,Tammy Duckworth
